Over,Ball,Runs Scored,Batsman Name,Bowler Name,Wickets,Total Runs,Total Wickets,Balls Faced by Batsman,Total Boundaries,Extras
12,2,0,A. Smith,R. Williams,0,0,0,0,0,0
12,3,4,J. Doe,R. Williams,0,0,0,1,0,0
12,4,1,J. Doe,R. Williams,0,0,0,1,0,0
12,5,6,M. Johnson,R. Williams,0,0,0,0,1,1
12,6,1,M. Johnson,R. Williams,0,0,0,0,0,0
13,1,1,A. Smith,D. Jones,0,0,0,0,0,0
13,2,0,A. Smith,D. Jones,0,0,0,0,0,0
13,3,4,J. Doe,D. Jones,0,0,0,1,0,0
13,4,1,J. Doe,D. Jones,0,0,0,1,0,0
13,5,4,M. Johnson,D. Jones,0,0,0,0,1,1
13,6,1,M. Johnson,D. Jones,0,0,0,0,0,0
14,1,2,A. Smith,M. Wilson,0,0,0,0,0,0
14,2,0,A. Smith,M. Wilson,0,0,0,0,0,0
14,3,4,J. Doe,M. Wilson,0,0,0,1,0,0
14,4,1,J. Doe,M. Wilson,0,0,0,1,0,0
14,5,6,M. Johnson,M. Wilson,0,0,0,0,1,1
14,6,1,M. Johnson,M. Wilson,0,0,0,0,0,0
15,1,3,A. Smith,S. Patel,0,0,0,0,0,0
15,2,0,A. Smith,S. Patel,0,0,0,0,0,0
15,3,4,J. Doe,S. Patel,0,0,0,1,0,0
15,4,1,J. Doe,S. Patel,0,0,0,1,0,0
15,5,4,M. Johnson,S. Patel,0,0,0,0,1,1
15,6,1,M. Johnson,S. Patel,0,0,0,0,0,0
16,1,2,A. Smith,R. Williams,0,0,0,0,0,0
16,2,0,A. Smith,R. Williams,0,0,0,0,0,0
16,3,4,J. Doe,R. Williams,0,0,0,1,0,0
16,4,1,J. Doe,R. Williams,0,0,0,1,0,0
16,5,6,M. Johnson,R. Williams,0,0,0,0,1,1
16,6,1,M. Johnson,R. Williams,0,0,0,0,0,0
17,1,1,A. Smith,D. Jones,0,0,0,0,0,0
17,2,0,A. Smith,D. Jones,0,0,0,0,0,0
17,3,4,J. Doe,D. Jones,0,0,0,1,0,0
17,4,1,J. Doe,D. Jones,0,0,0,1,0,0
17,5,4,M. Johnson,D. Jones,0,0,0,0,1,1
17,6,1,M. Johnson,D. Jones,0,0,0,0,0,0
18,1,2,A. Smith,M. Wilson,0,0,0,0,0,0
18,2,0,A. Smith,M. Wilson,0,0,0,0,0,0
18,3,4,J. Doe,M. Wilson,0,0,0,1,0,0
18,4,1,J. Doe,M. Wilson,0,0,0,1,0,0
18,5,6,M. Johnson,M. Wilson,0,0,0,0,1,1
18,6,1,M. Johnson,M. Wilson,0,0,0,0,0,0
19,1,3,A. Smith,S. Patel,0,0,0,0,0,0
19,2,0,A. Smith,S. Patel,0,0,0,0,0,0
19,3,4,J. Doe,S. Patel,0,0,0,1,0,0
19,4,1,J. Doe,S. Patel,0,0,0,1,0,0
19,5,4,M. Johnson,S. Patel,0,0,0,0,1,1
19,6,1,M. Johnson,S. Patel,0,0,0,0,0,0
20,1,2,A. Smith,R. Williams,0,0,0,0,0,0
20,2,0,A. Smith,R. Williams,0,0,0,0,0,0
20,3,4,J. Doe,R. Williams,0,0,0,1,0,0
20,4,1,J. Doe,R. Williams,0,0,0,1,0,0
20,5,6,M. Johnson,R. Williams,0,0,0,0,1,1
20,6,1,M. Johnson,R. Williams,0,0,0,0,0,0
21,1,1,A. Smith,D. Jones,0,0,0,0,0,0
21,2,0,A. Smith,D. Jones,0,0,0,0,0,0
21,3,4,J. Doe,D. Jones,0,0,0,1,0,0
21,4,1,J. Doe,D. Jones,0,0,0,1,0,0
21,5,4,M. Johnson,D. Jones,0,0,0,0,1,1
21,6,1,M. Johnson,D. Jones,0,0,0,0,0,0
22,1,2,A. Smith,M. Wilson,0,0,0,0,0,0
22,2,0,A. Smith,M. Wilson,0,0,0,0,0,0
22,3,4,J. Doe,M. Wilson,0,0,0,1,0,0
22,4,1,J. Doe,M. Wilson,0,0,0,1,0,0
22,5,6,M. Johnson,M. Wilson,0,0,0,0,1,1
22,6,1,M. Johnson,M. Wilson,0,0,0,0,0,0
23,1,3,A. Smith,S. Patel,0,0,0,0,0,0
23,2,0,A. Smith,S. Patel,0,0,0,0,0,0
23,3,4,J. Doe,S. Patel,0,0,0,1,0,0
23,4,1,J. Doe,S. Patel,0,0,0,1,0,0
23,5,4,M. Johnson,S. Patel,0,0,0,0,1,1
23,6,1,M. Johnson,S. Patel,0,0,0,0,0,0
24,1,2,A. Smith,R. Williams,0,0,0,0,0,0
24,2,0,A. Smith,R. Williams,0,0,0,0,0,0
24,3,4,J. Doe,R. Williams,0,0,0,1,0,0
24,4,1,J. Doe,R. Williams,0,0,0,1,0,0
24,5,6,M. Johnson,R. Williams,0,0,0,0,1,1
24,6,1,M. Johnson,R. Williams,0,0,0,0,0,0
25,1,1,A. Smith,D. Jones,0,0,0,0,0,0
25,2,0,A. Smith,D. Jones,0,0,0,0,0,0
25,3,4,J. Doe,D. Jones,0,0,0,1,0,0
25,4,1,J. Doe,D. Jones,0,0,0,1,0,0
25,5,4,M. Johnson,D. Jones,0,0,0,0,1,1
25,6,1,M. Johnson,D. Jones,0,0,0,0,0,0
26,1,2,A. Smith,M. Wilson,0,0,0,0,0,0
26,2,0,A. Smith,M. Wilson,0,0,0,0,0,0
26,3,4,J. Doe,M. Wilson,0,0,0,1,0,0
26,4,1,J. Doe,M. Wilson,0,0,0,1,0,0
26,5,6,M. Johnson,M. Wilson,0,0,0,0,1,1
26,6,1,M. Johnson,M. Wilson,0,0,0,0,0,0
27,1,3,A. Smith,S. Patel,0,0,0,0,0,0
27,2,0,A. Smith,S. Patel,0,0,0,0,0,0
27,3,4,J. Doe,S. Patel,0,0,0,1,0,0
27,4,1,J. Doe,S. Patel,0,0,0,1,0,0
27,5,4,M. Johnson,S. Patel,0,0,0,0,1,1
27,6,1,M. Johnson,S. Patel,0,0,0,0,0,0
28,1,2,A. Smith,R. Williams,0,0,0,0,0,0
28,2,0,A. Smith,R. Williams,0,0,0,0,0,0
28,3,4,J. Doe,R. Williams,0,0,0,1,0,0
28,4,1,J. Doe,R. Williams,0,0,0,1,0,0
28,5,6,M. Johnson,R. Williams,0,0,0,0,1,1
28,6,1,M. Johnson,R. Williams,0,0,0,0,0,0
29,1,1,A. Smith,D. Jones,0,0,0,0,0,0
29,2,0,A. Smith,D. Jones,0,0,0,0,0,0
29,3,4,J. Doe,D. Jones,0,0,0,1,0,0
29,4,1,J. Doe,D. Jones,0,0,0,1,0,0
29,5,4,M. Johnson,D. Jones,0,0,0,0,1,1
29,6,1,M. Johnson,D. Jones,0,0,0,0,0,0
30,1,2,A. Smith,M. Wilson,0,0,0,0,0,0
30,2,0,A. Smith,M. Wilson,0,0,0,0,0,0
30,3,4,J. Doe,M. Wilson,0,0,0,1,0,0
30,4,1,J. Doe,M. Wilson,0,0,0,1,0,0
30,5,6,M. Johnson,M. Wilson,0,0,0,0,1,1
30,6,1,M. Johnson,M. Wilson,0,0,0,0,0,0
31,1,3,A. Smith,S. Patel,0,0,0,0,0,0
31,2,0,A. Smith,S. Patel,0,0,0,0,0,0
31,3,4,J. Doe,S. Patel,0,0,0,1,0,0
31,4,1,J. Doe,S. Patel,0,0,0,1,0,0
31,5,4,M. Johnson,S. Patel,0,0,0,0,1,1
31,6,1,M. Johnson,S. Patel,0,0,0,0,0,0
32,1,2,A. Smith,R. Williams,0,0,0,0,0,0
32,2,0,A. Smith,R. Williams,0,0,0,0,0,0
32,3,4,J. Doe,R. Williams,0,0,0,1,0,0
32,4,1,J. Doe,R. Williams,0,0,0,1,0,0
32,5,6,M. Johnson,R. Williams,0,0,0,0,1,1
32,6,1,M. Johnson,R. Williams,0,0,0,0,0,0
33,1,1,A. Smith,D. Jones,0,0,0,0,0,0
33,2,0,A. Smith,D. Jones,0,0,0,0,0,0
33,3,4,J. Doe,D. Jones,0,0,0,1,0,0
33,4,1,J. Doe,D. Jones,0,0,0,1,0,0
33,5,4,M. Johnson,D. Jones,0,0,0,0,1,1
33,6,1,M. Johnson,D. Jones,0,0,0,0,0,0
34,1,2,A. Smith,M. Wilson,0,0,0,0,0,0
34,2,0,A. Smith,M. Wilson,0,0,0,0,0,0
34,3,4,J. Doe,M. Wilson,0,0,0,1,0,0
34,4,1,J. Doe,M. Wilson,0,0,0,1,0,0
34,5,6,M. Johnson,M. Wilson,0,0,0,0,1,1
34,6,1,M. Johnson,M. Wilson,0,0,0,0,0,0
35,1,3,A. Smith,S. Patel,0,0,0,0,0,0
35,2,0,A. Smith,S. Patel,0,0,0,0,0,0
35,3,4,J. Doe,S. Patel,0,0,0,1,0,0
35,4,1,J. Doe,S. Patel,0,0,0,1,0,0
35,5,4,M. Johnson,S. Patel,0,0,0,0,1,1
35,6,1,M. Johnson,S. Patel,0,0,0,0,0,0
36,1,2,A. Smith,R. Williams,0,0,0,0,0,0
36,2,0,A. Smith,R. Williams,0,0,0,0,0,0
36,3,4,J. Doe,R. Williams,0,0,0,1,0,0
36,4,1,J. Doe,R. Williams,0,0,0,1,0,0
36,5,6,M. Johnson,R. Williams,0,0,0,0,1,1
36,6,1,M. Johnson,R. Williams,0,0,0,0,0,0
37,1,1,A. Smith,D. Jones,0,0,0,0,0,0
37,2,0,A. Smith,D. Jones,0,0,0,0,0,0
37,3,4,J. Doe,D. Jones,0,0,0,1,0,0
37,4,1,J. Doe,D. Jones,0,0,0,1,0,0
37,5,4,M. Johnson,D. Jones,0,0,0,0,1,1
37,6,1,M. Johnson,D. Jones,0,0,0,0,0,0
38,1,2,A. Smith,M. Wilson,0,0,0,0,0,0
38,2,0,A. Smith,M. Wilson,0,0,0,0,0,0
38,3,4,J. Doe,M. Wilson,0,0,0,1,0,0
38,4,1,J. Doe,M. Wilson,0,0,0,1,0,0
38,5,6,M. Johnson,M. Wilson,0,0,0,0,1,1
38,6,1,M. Johnson,M. Wilson,0,0,0,0,0,0
39,1,3,A. Smith,S. Patel,0,0,0,0,0,0
39,2,0,A. Smith,S. Patel,0,0,0,0,0,0
39,3,4,J. Doe,S. Patel,0,0,0,1,0,0
39,4,1,J. Doe,S. Patel,0,0,0,1,0,0
39,5,4,M. Johnson,S. Patel,0,0,0,0,1,1
39,6,1,M. Johnson,S. Patel,0,0,0,0,0,0
40,1,2,A. Smith,R. Williams,0,0,0,0,0,0
40,2,0,A. Smith,R. Williams,0,0,0,0,0,0
40,3,4,J. Doe,R. Williams,0,0,0,1,0,0
40,4,1,J. Doe,R. Williams,0,0,0,1,0,0
40,5,6,M. Johnson,R. Williams,0,0,0,0,1,1
40,6,1,M. Johnson,R. Williams,0,0,0,0,0,0
41,1,1,A. Smith,D. Jones,0,0,0,0,0,0
41,2,0,A. Smith,D. Jones,0,0,0,0,0,0
41,3,4,J. Doe,D. Jones,0,0,0,1,0,0
41,4,1,J. Doe,D. Jones,0,0,0,1,0,0
41,5,4,M. Johnson,D. Jones,0,0,0,0,1,1
41,6,1,M. Johnson,D. Jones,0,0,0,0,0,0
42,1,2,A. Smith,M. Wilson,0,0,0,0,0,0
42,2,0,A. Smith,M. Wilson,0,0,0,0,0,0
42,3,4,J. Doe,M. Wilson,0,0,0,1,0,0
42,4,1,J. Doe,M. Wilson,0,0,0,1,0,0
42,5,6,M. Johnson,M. Wilson,0,0,0,0,1,1
42,6,1,M. Johnson,M. Wilson,0,0,0,0,0,0
43,1,3,A. Smith,S. Patel,0,0,0,0,0,0
43,2,0,A. Smith,S. Patel,0,0,0,0,0,0
43,3,4,J. Doe,S. Patel,0,0,0,1,0,0
43,4,1,J. Doe,S. Patel,0,0,0,1,0,0
43,5,4,M. Johnson,S. Patel,0,0,0,0,1,1
43,6,1,M. Johnson,S. Patel,0,0,0,0,0,0
44,1,2,A. Smith,R. Williams,0,0,0,0,0,0
44,2,0,A. Smith,R. Williams,0,0,0,0,0,0
44,3,4,J. Doe,R. Williams,0,0,0,1,0,0
44,4,1,J. Doe,R. Williams,0,0,0,1,0,0
44,5,6,M. Johnson,R. Williams,0,0,0,0,1,1
44,6,1,M. Johnson,R. Williams,0,0,0,0,0,0
45,1,1,A. Smith,D. Jones,0,0,0,0,0,0
45,2,0,A. Smith,D. Jones,0,0,0,0,0,0
45,3,4,J. Doe,D. Jones,0,0,0,1,0,0
45,4,1,J. Doe,D. Jones,0,0,0,1,0,0
45,5,4,M. Johnson,D. Jones,0,0,0,0,1,1
45,6,1,M. Johnson,D. Jones,0,0,0,0,0,0
46,1,2,A. Smith,M. Wilson,0,0,0,0,0,0
46,2,0,A. Smith,M. Wilson,0,0,0,0,0,0
46,3,4,J. Doe,M. Wilson,0,0,0,1,0,0
46,4,1,J. Doe,M. Wilson,0,0,0,1,0,0
46,5,6,M. Johnson,M. Wilson,0,0,0,0,1,1
46,6,1,M. Johnson,M. Wilson,0,0,0,0,0,0
47,1,3,A. Smith,S. Patel,0,0,0,0,0,0
47,2,0,A. Smith,S. Patel,0,0,0,0,0,0
47,3,4,J. Doe,S. Patel,0,0,0,1,0,0
47,4,1,J. Doe,S. Patel,0,0,0,1,0,0
47,5,4,M. Johnson,S. Patel,0,0,0,0,1,1
47,6,1,M. Johnson,S. Patel,0,0,0,0,0,0
48,1,2,A. Smith,R. Williams,0,0,0,0,0,0
48,2,0,A. Smith,R. Williams,0,0,0,0,0,0
48,3,4,J. Doe,R. Williams,0,0,0,1,0,0
48,4,1,J. Doe,R. Williams,0,0,0,1,0,0
48,5,6,M. Johnson,R. Williams,0,0,0,0,1,1
48,6,1,M. Johnson,R. Williams,0,0,0,0,0,0
49,1,1,A. Smith,D. Jones,0,0,0,0,0,0
49,2,0,A. Smith,D. Jones,0,0,0,0,0,0
49,3,4,J. Doe,D. Jones,0,0,0,1,0,0
49,4,1,J. Doe,D. Jones,0,0,0,1,0,0
49,5,4,M. Johnson,D. Jones,0,0,0,0,1,1
49,6,1,M. Johnson,D. Jones,0,0,0,0,0,0
50,1,2,A. Smith,M. Wilson,0,0,0,0,0,0
50,2,0,A. Smith,M. Wilson,0,0,0,0,0,0
50,3,4,J. Doe,M. Wilson,0,0,0,1,0,0
50,4,1,J. Doe,M. Wilson,0,0,0,1,0,0
50,5,6,M. Johnson,M. Wilson,0,0,0,0,1,1
50,6,1,M. Johnson,M. Wilson,0,0,0,0,0,0
